id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage,fetched_at
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999769,60941314358,7,60942147170,11431044615,0.999831,0.999703,-2.8493993575074e-05,-0.00285,-29194364.152778625,-0.04788,60953514509.73411,60954347488.07732,,1.17,-14.74646,2019-05-08T00:40:28.300Z,0.877647,13.91527,2023-03-11T08:02:13.981Z,,2025-06-11T12:00:04.327Z,,,,2025-06-11 14:00:12
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.199082,29768210834,8,29768562947,1646288182,0.203743,0.190222,0.00418345,2.14648,633288474.0,2.17364,149638396383.7052,149640166383.7052,,0.731578,-72.78071,2021-05-08T05:08:23.458Z,8.69e-05,229038.96261,2015-05-06T00:00:00.000Z,,2025-06-11T12:00:10.492Z,,,,2025-06-11 14:00:12
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.714023,25766669448,10,32123483549,770258294,0.726712,0.692396,0.00853895,1.21037,313357863.0,1.23111,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.86503,2021-09-02T06:00:10.474Z,0.01925275,3609.37183,2020-03-13T02:22:55.044Z,,2025-06-11T12:00:09.722Z,,,,2025-06-11 14:00:12
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109249.0,2173197583919,1,2173203378435,31623631805,110237.0,108633.0,-291.1626874729409,-0.2658,-3838789585.283203,-0.17633,19877325.0,19877378.0,21000000.0,111814.0,-2.29839,2025-05-22T18:41:28.492Z,67.81,161005.8044,2013-07-06T00:00:00.000Z,,2025-06-11T12:20:11.808Z,,,,2025-06-11 14:20:13
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2776.33,335516560012,2,335516560012,30679435687,2821.7,2712.96,15.34,0.55549,2388908037.0,0.71711,120722181.5589522,120722181.5589522,,4878.26,-43.21996,2021-11-10T14:24:19.604Z,0.432979,639625.96752,2015-10-20T00:00:00.000Z,,2025-06-11T12:20:10.979Z,33.00345727776716,btc,3300.345727776716,2025-06-11 14:20:13
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999946,155030617223,3,155030617223,58326142960,1.0,0.999917,-0.000175293380817121,-0.01753,-176837641.87197876,-0.11394,155038253887.8046,155038253887.8046,,1.32,-24.42543,2018-07-24T00:00:00.000Z,0.572521,74.65274,2015-03-02T00:00:00.000Z,,2025-06-11T12:20:09.708Z,,,,2025-06-11 14:20:13
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,667.65,97412085082,5,97412085082,927521160,673.62,659.64,2.58,0.38746,416398125.0,0.4293,145887575.79,145887575.79,200000000.0,788.84,-15.47116,2024-12-04T10:35:25.220Z,0.0398177,1674533.20022,2017-10-19T00:00:00.000Z,,2025-06-11T12:20:10.084Z,,,,2025-06-11 14:20:13
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,164.27,86317441804,6,99072970917,6003999460,167.13,157.02,4.04,2.52433,2330843608.0,2.77526,525235391.6769168,602851863.9673319,,293.31,-43.95499,2025-01-19T11:15:27.957Z,0.500801,32724.74536,2020-05-11T19:35:23.449Z,,2025-06-11T12:20:10.944Z,,,,2025-06-11 14:20:13
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999794,60939814561,7,60940647352,5460292609,0.999811,0.999703,1.735e-05,0.00174,-30540691.6281662,-0.05009,60953514509.73411,60954347488.07732,,1.17,-14.74383,2019-05-08T00:40:28.300Z,0.877647,13.91878,2023-03-11T08:02:13.981Z,,2025-06-11T12:20:05.583Z,,,,2025-06-11 14:20:13
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.199093,29831544934,8,29831897797,1641001734,0.203743,0.190222,0.00383617,1.96467,698273244.0,2.39682,149638396383.7052,149640166383.7052,,0.731578,-72.78728,2021-05-08T05:08:23.458Z,8.69e-05,228983.69097,2015-05-06T00:00:00.000Z,,2025-06-11T12:20:11.948Z,,,,2025-06-11 14:20:13
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.714555,25810403186,10,32178006700,767607952,0.726712,0.692396,0.00839854,1.18933,358950364.0,1.41033,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.86945,2021-09-02T06:00:10.474Z,0.01925275,3608.66348,2020-03-13T02:22:55.044Z,,2025-06-11T12:20:12.009Z,,,,2025-06-11 14:20:13
